,instagram_likes,instagram_followers,created_at,title
0,11.0,335.0,2013-06-14T00:04:50Z,What were drinking for the day
1,4.0,520.0,2013-06-14T00:04:49Z,#ootd #redcardigan #redvans #cocacola #tank #blackskinnyjeans #wildincuzimyoung#gotmyvansonbuttheylooklikesneakers #giraffelover #messyhair #blackandgold #byui #school #pathway #institute ❤
2,1.0,211.0,2013-06-14T00:04:49Z,It's been ten years already? #tbt #cocacola
3,12.0,711.0,2013-06-14T00:04:48Z,#igers_philly #igersusa #markmakingdesign #coke #cocacola #logo #brand #rubbish
4,4.0,220.0,2013-06-14T00:04:48Z,I seriously only go to Mcd's for coke.#fountain#cocacola#yumm#nofilter
5,1.0,120.0,2013-06-14T00:04:47Z,#bike #bici #hollywood #l.a #eeuu #usa #cocacola #coke
6,5.0,173.0,2013-06-14T00:04:46Z,Being stunning #stunning #lol #i #dont #even #know #weird #cocacola #beingsexy #irishgirl #brunette #blueeyes #followme #followback #followforfollow
7,0.0,491.0,2013-06-14T00:04:45Z,.. I just ate my whole life away.  #mcdonalds #cocacola #imlovinit #cheeseburgers #munchiez #ishouldbeproductive #nofriends
8,52.0,319.0,2013-06-14T00:01:57Z,יום הולדת לאהובתיי היפההה  @hen_itach
9,1.0,103.0,2013-06-14T00:01:57Z,My favorite drink. #cocacola #soda #drink
10,0.0,54.0,2013-06-14T00:01:55Z,#cocacola
11,288.0,967.0,2013-06-14T00:01:54Z,"I was never afraid of the everyday life, the habit is not a fate. We can reinvent every day, the luxury and the commonplace, the immoderation and the common. I believe in the passion which develops, to the memory of the feeling..."
12,2.0,12.0,2013-06-14T00:01:54Z,#expense #instamood #milo #fanta #cocacola #sprite #instagood #like4like #likeforlike #likes
13,1.0,83.0,2013-06-14T00:01:53Z,#por#que#no#cocacola#zero@ch14_instagram
14,0.0,346.0,2013-06-14T00:01:52Z,Edgar & I sporting winter inspired pajama pants! #socomfy #winter #penuins #polarbears #cocacola maybe? #studious #studying #calculus & #statics #summerschool #collegeprobs
15,0.0,269.0,2013-06-14T00:01:52Z,"Abastecimiento para una semana, SOLO PARA MI ❤❤❤❤❤❤"
16,0.0,66.0,2013-06-14T00:01:51Z,Coca-cola para el alma. #cocacola #red #black #coke #yummi #instayolo #lol #love #drink
17,0.0,116.0,2013-06-14T00:01:51Z,No puedo decir no a esto #cocacola #oreo
18,1.0,16.0,2013-06-13T23:58:52Z,#coke #fun #cocacola #promojob #loveit
19,0.0,84.0,2013-06-13T23:58:51Z,Panorama para dia jueved #Flordecaña #monster #cocacola y luego a #Amazing ;)))
20,1.0,19.0,2013-06-13T23:58:50Z,Acompaña un Mmmm... Con un Ahhhh... Cocacola Light #Cocacola #CocacolaLight :)
21,0.0,11.0,2013-06-13T23:58:48Z,#ForTheRecord #adarle #cocacola
22,0.0,53.0,2013-06-13T23:55:47Z,.. Lanchinho Perfeito esse ... ;3 - #perfect #instalike #instagram #bobs #cocacola ..
23,0.0,338.0,2013-06-13T23:55:46Z,
24,0.0,14.0,2013-06-13T23:55:46Z,"Addiction: I have drank this every single day since I was little so yes, I'm very addicted #junephotoadaychallenge #cocacola #addiction"
25,1.0,176.0,2013-06-13T23:55:45Z,#cocacola #smile #night #goingout #tagsforlikes #instagood
26,1.0,311.0,2013-06-13T23:55:45Z,#tavo #handsome #guy #likes #pick  #frieds #beer #cocacola #meamo
27,0.0,16.0,2013-06-13T23:55:44Z,#fun #cocacola #promo #coke
28,2.0,149.0,2013-06-13T23:55:44Z,❤@aster_21 #cocacola #coke #love #name #amore #kiss #us #like4like #instawow #collage #picofday #popularpic #mix #instagood #heartit
29,0.0,2.0,2013-06-13T23:55:43Z,Modulo fabricado en acero y policarbonato celular. Especial para #exteriores #expos #ferias #modulo #fanta #refresco #cocacola
30,0.0,236.0,2013-06-13T23:55:43Z,#cocacola or #Pepsi!? What you grow up with ??
31,3.0,62.0,2013-06-13T23:55:42Z,divando #amanda #me #cocacola #like #divando #coke #likenafoto #l4l #like4like #followme #follow #instalike #instafollow #epa #boanoite
32,1.0,201.0,2013-06-13T23:52:54Z,Aaaaannw olha oq a @capricho me mandou junto com a revista desse mes ♡♡♡ #pulseira #cordao #capricho #coke #cocacola #instalike #inlove #l4l #f4f
33,17.0,541.0,2013-06-13T23:52:53Z,
34,2.0,736.0,2013-06-13T23:52:51Z,☀ #burned #cocacola #lol @datchico954
35,2.0,464.0,2013-06-13T23:52:48Z,Oh you know just a little break lol #IceCremeTruck #Yummm #Yummy #HotCheetos #HotCheetosWithCheese #Nachos #Jalapeños #Cheese #Cheesy #Coke #CocaCola #FatGirlProblem #Dessert I miss the ice Crème truck .. Now I finally have one on my block yey about time lol
36,0.0,130.0,2013-06-13T23:52:47Z,Picture of the day: Sugar rushhhh!  #sugar #candy #wonka #cocacola
37,1.0,140.0,2013-06-13T23:52:46Z,#cocacola #coke #blue #ch #capricho
38,2.0,221.0,2013-06-13T23:52:45Z,#cocacola#coke#add#joke#lol#kidding#pop#soda#60's#hahs#self#me#pdx#red#lovecoke
39,0.0,54.0,2013-06-13T23:52:44Z,Tomando algo :3 #cocacola #coke
40,27.0,45.0,2013-06-13T23:52:44Z,
41,2.0,305.0,2013-06-13T23:52:43Z,valentine's day  @clararbp_ @aguilarthiago @brunok17
42,0.0,67.0,2013-06-13T23:49:59Z,Finally! #shareacokewith #sara #cocacola
43,1.0,48.0,2013-06-13T23:49:57Z,La dotacion de mi #princess y yo para ver #HombreEnLlamas una de las pelis q mas le gusta #love #movie #popcorn #frenchfries #cocacola
44,9.0,48.0,2013-06-13T23:49:55Z,#rihanna #fashion #beautiful #rih #riri #navy #rihannanavy #navyfamily #navylove #shinebrightbitch #shine #love #like #music #sexy #smile @badgalriri @badgalriri @badgalriri #badgirl #girl #instagood #tags #tagsforlikes #woman #rihannadivaperfeita #cocacola <3
