"X","Unnamed..0","Unnamed..0.1","country","title","zip","instagram_likes","kmeans"
0,0,"0","United States","What were drinking for the day","60025",11,"1"
1,1,"1","United States","#ootd #redcardigan #redvans #cocacola #tank #blackskinnyjeans #wildincuzimyoung#gotmyvansonbuttheylooklikesneakers #giraffelover #messyhair #blackandgold #byui #school #pathway #institute ❤","92570",4,"10"
2,2,"2",NA,"It's been ten years already? #tbt #cocacola",NA,1,"1"
3,3,"3",NA,"#igers_philly #igersusa #markmakingdesign #coke #cocacola #logo #brand #rubbish",NA,12,"10"
4,4,"4",NA,"I seriously only go to Mcd's for coke.#fountain#cocacola#yumm#nofilter",NA,4,"1"
5,5,"5",NA,"#bike #bici #hollywood #l.a #eeuu #usa #cocacola #coke",NA,1,"9"
6,6,"6",NA,"Being stunning #stunning #lol #i #dont #even #know #weird #cocacola #beingsexy #irishgirl #brunette #blueeyes #followme #followback #followforfollow",NA,5,"1"
7,7,"7",NA,".. I just ate my whole life away.  #mcdonalds #cocacola #imlovinit #cheeseburgers #munchiez #ishouldbeproductive #nofriends",NA,0,"10"
8,8,"8",NA,"יום הולדת לאהובתיי היפההה  @hen_itach",NA,52,"1"
9,9,"9",NA,"My favorite drink. #cocacola #soda #drink",NA,1,"9"
10,10,"10",NA,"#cocacola",NA,0,"9"
11,11,"11",NA,"I was never afraid of the everyday life, the habit is not a fate. We can reinvent every day, the luxury and the commonplace, the immoderation and the common. I believe in the passion which develops, to the memory of the feeling...",NA,288,"7"
12,12,"12",NA,"#expense #instamood #milo #fanta #cocacola #sprite #instagood #like4like #likeforlike #likes",NA,2,"9"
13,13,"13","Mexico","#por#que#no#cocacola#zero@ch14_instagram","47800",1,"9"
14,14,"14",NA,"Edgar & I sporting winter inspired pajama pants! #socomfy #winter #penuins #polarbears #cocacola maybe? #studious #studying #calculus & #statics #summerschool #collegeprobs",NA,0,"1"
15,15,"15",NA,"Abastecimiento para una semana, SOLO PARA MI ❤❤❤❤❤❤",NA,0,"1"
16,16,"16",NA,"Coca-cola para el alma. #cocacola #red #black #coke #yummi #instayolo #lol #love #drink",NA,0,"9"
17,17,"17",NA,"No puedo decir no a esto #cocacola #oreo",NA,0,"9"
18,18,"18",NA,"#coke #fun #cocacola #promojob #loveit",NA,1,"9"
19,19,"19",NA,"Panorama para dia jueved #Flordecaña #monster #cocacola y luego a #Amazing ;)))",NA,0,"9"
20,20,"20",NA,"Acompaña un Mmmm... Con un Ahhhh... Cocacola Light #Cocacola #CocacolaLight :)",NA,1,"9"
21,21,"21",NA,"#ForTheRecord #adarle #cocacola",NA,0,"9"
22,22,"22",NA,".. Lanchinho Perfeito esse ... ;3 - #perfect #instalike #instagram #bobs #cocacola ..",NA,0,"9"
23,23,"23",NA,NA,NA,0,"1"
24,24,"24",NA,"Addiction: I have drank this every single day since I was little so yes, I'm very addicted #junephotoadaychallenge #cocacola #addiction",NA,0,"9"
25,25,"25","Italy","#cocacola #smile #night #goingout #tagsforlikes #instagood","00125",1,"1"
26,26,"26",NA,"#tavo #handsome #guy #likes #pick  #frieds #beer #cocacola #meamo",NA,1,"1"
27,27,"27",NA,"#fun #cocacola #promo #coke",NA,0,"9"
28,28,"28",NA,"❤@aster_21 #cocacola #coke #love #name #amore #kiss #us #like4like #instawow #collage #picofday #popularpic #mix #instagood #heartit",NA,2,"9"
29,29,"29","Mexico","Modulo fabricado en acero y policarbonato celular. Especial para #exteriores #expos #ferias #modulo #fanta #refresco #cocacola","64710",0,"9"
30,30,"30",NA,"#cocacola or #Pepsi!? What you grow up with ??",NA,0,"1"
31,31,"31",NA,"divando #amanda #me #cocacola #like #divando #coke #likenafoto #l4l #like4like #followme #follow #instalike #instafollow #epa #boanoite",NA,3,"9"
32,32,"32","Brazil","Aaaaannw olha oq a @capricho me mandou junto com a revista desse mes ♡♡♡ #pulseira #cordao #capricho #coke #cocacola #instalike #inlove #l4l #f4f","20770-270",1,"1"
33,33,"33","Italy",NA,"80121",17,"10"
34,34,"34","United States","☀ #burned #cocacola #lol @datchico954","33326",2,"10"
35,35,"35","United States","Oh you know just a little break lol #IceCremeTruck #Yummm #Yummy #HotCheetos #HotCheetosWithCheese #Nachos #Jalapeños #Cheese #Cheesy #Coke #CocaCola #FatGirlProblem #Dessert I miss the ice Crème truck .. Now I finally have one on my block yey about time lol","90019",2,"10"
36,36,"36",NA,"Picture of the day: Sugar rushhhh!  #sugar #candy #wonka #cocacola",NA,0,"9"
37,37,"37",NA,"#cocacola #coke #blue #ch #capricho",NA,1,"9"
38,38,"38",NA,"#cocacola#coke#add#joke#lol#kidding#pop#soda#60's#hahs#self#me#pdx#red#lovecoke",NA,2,"1"
39,39,"39",NA,"Tomando algo :3 #cocacola #coke",NA,0,"9"
40,40,"40",NA,NA,NA,27,"9"
