"X","Unnamed..0","Unnamed..0.1","instagram_likes","instagram_comments","instagram_followers","country","title","zip","kmeans","X.cocacola","X.coke","X.love","a","X.drink","X.cola","my","i","X.me","X.instagood","the","X.followme","X.summer","X.like","X.red","X.name","X.coca","with","X.instagram","coke","X.follow","X.friends","X.happy","coca","de","X.picoftheday","to","X.share","cola","X.photooftheday","X..","and","X.my","X.food","X.tagsforlikes","me","X.instadaily","X.cool","X.instamood","la","X.fun","X.cute","this","X.girl","in.","X.with","X.like4like","X.swag","is","of","rf"
8233,8233,"8232",7,0,28,"France","Au top! #cycling #cocacola # Paris #race","75014",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28338968086158
8432,8432,"8431",9,0,46,NA,"My love #instagood #gramboss #instakill #cocacola #me #delicius",NA,9,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.80332912572007
2574,2574,"2574",0,0,183,"Egypt","Instead of throwing them away, creative ideas needed for used #cocacola glass bottles",NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.50490717201631
7471,7471,"7470",30,2,179,NA,"_Ÿ_µÑ€_µ_ºÑƒÑÅ _´__Ñè: _°-_»Ñè Ñ…__Ñ‚_´____ (_´___µ ÑÅ__ÑÅ_¸ÑÅ_º_¸ ÑÅ _º_µÑ‚Ñ‡Ñƒ_¿____ _¸ _º__Ñ€_µ__ÑÅ_º____ ____Ñ€_º_____º____ __ 
_±_°___µÑ‚_µ) _¸ _´_¸_µÑ‚_¸Ñ‡_µÑÅ_º_°Ñè _º___»_° (___°_´__ _¶_µ ÑÅ_»_µ_´_¸Ñ‚ÑŒ _·_° Ñ„_¸__ÑƒÑ€____!).#_µ_´_°#Ñ…__Ñ‚_´____#ÑÅ__ÑÅ_¸ÑÅ_º_°#_¿_°Ñ€_µ__ÑŒ#_±____Ñ„Ñ€_µ___´#_¿_µÑ€_µ_ºÑƒÑÅ#Ñƒ_¶_¸__#_¿ÑƒÑ‚_µÑˆ_µÑÅÑ‚___¸_µ#_ºÑ€_°ÑÅ____ÑèÑ€ÑÅ_º#_°_±_°_º_°__#ÑÅ_¸_±_¸Ñ€ÑŒ#_±_°Ñ‚____#_º___»_°#_º___º_°_º___»_°#_´_¸_µÑ‚_°#food#hotdog#guy#boyfriend#trip#siberia#russia#cocacola#diet#bread#car#solaris",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.8347218348399
5773,5773,"5773",0,0,199,NA,"Yum. #cocacola #coca #inthebottle #dinner #with #picza #coke",NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.78463771834799
4669,4669,"4669",4,0,1308,"Russia","#photo #like #instagram #love #good #beautiful #mimi #follow #me #girl #cool #crazy #children #swag #face #nature #she #live #he #music #nice #now #live #friend #you #birthday #tagsforlikesfslc #home #cocacola",NA,7,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,9.77363002527511
6624,6624,"6623",3,2,184,"Italy","#street #food #panzerotti #baresitÃ  #puglia #benvenutialsud #peroni #foodporn #foodlovers #foodphotography #foodpornphotography #instafood #instagram @mariapaola71","70054",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9630214682091
1211,1211,"1211",1,0,43,NA,"_ê __Ñ‹ _º_____´_° _»_¸_±__ ___¸_´_µ_»_¸ Ñ‚_°_ºÑƒÑ_? #CocaCola #Cherry #Red #followme #follow #beautiful #world #workandtravel2013",NA,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71298780309913
5907,5907,"5907",0,0,142,NA,"boring sa bahay. #cocacola #mani #onepiece",NA,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0973632653652
6339,6339,"6339",1,0,195,NA,"#cocacola #mini #small #lol #cool",NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.79168118043736
