,instagram_likes,instagram_comments,instagram_followers,country,title,zip
0,11.0,1.0,335.0,United States,What were drinking for the day,60025
1,4.0,0.0,520.0,United States,#ootd #redcardigan #redvans #cocacola #tank #blackskinnyjeans #wildincuzimyoung#gotmyvansonbuttheylooklikesneakers #giraffelover #messyhair #blackandgold #byui #school #pathway #institute ❤,92570
2,1.0,0.0,211.0,,It's been ten years already? #tbt #cocacola,
3,12.0,0.0,711.0,,#igers_philly #igersusa #markmakingdesign #coke #cocacola #logo #brand #rubbish,
4,4.0,0.0,220.0,,I seriously only go to Mcd's for coke.#fountain#cocacola#yumm#nofilter,
5,1.0,0.0,120.0,,#bike #bici #hollywood #l.a #eeuu #usa #cocacola #coke,
6,5.0,0.0,173.0,,Being stunning #stunning #lol #i #dont #even #know #weird #cocacola #beingsexy #irishgirl #brunette #blueeyes #followme #followback #followforfollow,
7,0.0,0.0,491.0,,.. I just ate my whole life away.  #mcdonalds #cocacola #imlovinit #cheeseburgers #munchiez #ishouldbeproductive #nofriends,
8,52.0,2.0,319.0,,יום הולדת לאהובתיי היפההה  @hen_itach,
9,1.0,0.0,103.0,,My favorite drink. #cocacola #soda #drink,
10,0.0,0.0,54.0,,#cocacola,
11,288.0,12.0,967.0,,"I was never afraid of the everyday life, the habit is not a fate. We can reinvent every day, the luxury and the commonplace, the immoderation and the common. I believe in the passion which develops, to the memory of the feeling...",
12,2.0,0.0,12.0,,#expense #instamood #milo #fanta #cocacola #sprite #instagood #like4like #likeforlike #likes,
13,1.0,0.0,83.0,Mexico,#por#que#no#cocacola#zero@ch14_instagram,47800
14,0.0,1.0,346.0,,Edgar & I sporting winter inspired pajama pants! #socomfy #winter #penuins #polarbears #cocacola maybe? #studious #studying #calculus & #statics #summerschool #collegeprobs,
15,0.0,1.0,269.0,,"Abastecimiento para una semana, SOLO PARA MI ❤❤❤❤❤❤",
16,0.0,0.0,66.0,,Coca-cola para el alma. #cocacola #red #black #coke #yummi #instayolo #lol #love #drink,
17,0.0,0.0,116.0,,No puedo decir no a esto #cocacola #oreo,
18,1.0,1.0,16.0,,#coke #fun #cocacola #promojob #loveit,
19,0.0,0.0,84.0,,Panorama para dia jueved #Flordecaña #monster #cocacola y luego a #Amazing ;))),
20,1.0,0.0,19.0,,Acompaña un Mmmm... Con un Ahhhh... Cocacola Light #Cocacola #CocacolaLight :),
21,0.0,0.0,11.0,,#ForTheRecord #adarle #cocacola,
22,0.0,0.0,53.0,,.. Lanchinho Perfeito esse ... ;3 - #perfect #instalike #instagram #bobs #cocacola ..,
23,0.0,1.0,338.0,,,
24,0.0,0.0,14.0,,"Addiction: I have drank this every single day since I was little so yes, I'm very addicted #junephotoadaychallenge #cocacola #addiction",
25,1.0,0.0,176.0,Italy,#cocacola #smile #night #goingout #tagsforlikes #instagood,00125
26,1.0,0.0,311.0,,#tavo #handsome #guy #likes #pick  #frieds #beer #cocacola #meamo,
27,0.0,0.0,16.0,,#fun #cocacola #promo #coke,
28,2.0,0.0,149.0,,❤@aster_21 #cocacola #coke #love #name #amore #kiss #us #like4like #instawow #collage #picofday #popularpic #mix #instagood #heartit,
29,0.0,0.0,2.0,Mexico,Modulo fabricado en acero y policarbonato celular. Especial para #exteriores #expos #ferias #modulo #fanta #refresco #cocacola,64710
30,0.0,0.0,236.0,,#cocacola or #Pepsi!? What you grow up with ??,
31,3.0,0.0,62.0,,divando #amanda #me #cocacola #like #divando #coke #likenafoto #l4l #like4like #followme #follow #instalike #instafollow #epa #boanoite,
32,1.0,0.0,201.0,Brazil,Aaaaannw olha oq a @capricho me mandou junto com a revista desse mes ♡♡♡ #pulseira #cordao #capricho #coke #cocacola #instalike #inlove #l4l #f4f,20770-270
33,17.0,3.0,541.0,Italy,,80121
34,2.0,0.0,736.0,United States,☀ #burned #cocacola #lol @datchico954,33326
35,2.0,0.0,464.0,United States,Oh you know just a little break lol #IceCremeTruck #Yummm #Yummy #HotCheetos #HotCheetosWithCheese #Nachos #Jalapeños #Cheese #Cheesy #Coke #CocaCola #FatGirlProblem #Dessert I miss the ice Crème truck .. Now I finally have one on my block yey about time lol,90019
36,0.0,0.0,130.0,,Picture of the day: Sugar rushhhh!  #sugar #candy #wonka #cocacola,
37,1.0,0.0,140.0,,#cocacola #coke #blue #ch #capricho,
38,2.0,0.0,221.0,,#cocacola#coke#add#joke#lol#kidding#pop#soda#60's#hahs#self#me#pdx#red#lovecoke,
39,0.0,0.0,54.0,,Tomando algo :3 #cocacola #coke,
40,27.0,4.0,45.0,,,
41,2.0,1.0,305.0,Brazil,valentine's day  @clararbp_ @aguilarthiago @brunok17,22220-070
42,0.0,0.0,67.0,,Finally! #shareacokewith #sara #cocacola,
43,1.0,0.0,48.0,,La dotacion de mi #princess y yo para ver #HombreEnLlamas una de las pelis q mas le gusta #love #movie #popcorn #frenchfries #cocacola,
44,9.0,0.0,48.0,,#rihanna #fashion #beautiful #rih #riri #navy #rihannanavy #navyfamily #navylove #shinebrightbitch #shine #love #like #music #sexy #smile @badgalriri @badgalriri @badgalriri #badgirl #girl #instagood #tags #tagsforlikes #woman #rihannadivaperfeita #cocacola <3,
45,0.0,0.0,72.0,,Rebel Without a Cause. #James #Byron #Dean #CocaCola #Names #Rebel #Without #Cause #Legend,
46,2.0,0.0,203.0,,#cocacola #free #downtown #montreal #love #sogood #fun,
47,3.0,1.0,1495.0,,Coca cola,
48,0.0,0.0,162.0,,Summer nights. #oldmaid #cocacola #lemonheads #family #swimming #mexicancoke,
49,2.0,1.0,74.0,,Sem mais.,
50,1.0,0.0,26.0,,#cocacola #share #with #me :),
51,3.0,0.0,265.0,,Lack of sleep.... Nah... #lackofsleep #cocacola #atwork #losangeles #gear #hat #goatee #Salvador312,
52,4.0,0.0,47.0,France,"Chillin nite wit real niggaq from the street ya! 
#night#friends#love#chill#chillin#chilling#bed#pyjama#party#cocacola#company#cute#dream",92000
53,4.0,0.0,260.0,,#cocacola #drink #blonde #girl  #bored #red #top,
54,0.0,0.0,108.0,,#rhumandcoke#vodkalemonade#cocacola#lemonade#alcohol#goodshit#ice#goodnight#lime#drink,
55,11.0,0.0,1377.0,, #cocacola #love #TagsForLikes #photooftheday #me #instamood #cute #igers #picoftheday #girl #guy #beautiful #fashion #instagramers #follow #smile #pretty #followme #friends #hair #swag #photo #life #funny #cool #hot #bored #portrait #baby #girls,
56,3.0,0.0,260.0,,#cocacola #drink #top #bored #top #new,
57,7.0,1.0,123.0,,"Que agustito, no?",
58,0.0,0.0,173.0,,#cocacola #share #love #coke #instalove,
59,29.0,6.0,514.0,,Eu te amo!,
60,1.0,0.0,198.0,Brazil,Galerinha reunida :D  Amigos do Pré :p  #Saudades  #Amigos  #Friends  #Flocarianos #Lindos #Meus ^^ #Cocacola  #Designer,59075-000
61,1.0,0.0,99.0,Brazil,#cocacola#adoro#me#amarro,02179-000
62,0.0,0.0,233.0,,Summaa time #cocacola #glass #bottle,
