,instagram_likes,instagram_comments,instagram_followers,country,title,zip
0,11,1,335,United States,What were drinking for the day,60025
1,4,0,520,United States,#ootd #redcardigan #redvans #cocacola #tank #blackskinnyjeans #wildincuzimyoung#gotmyvansonbuttheylooklikesneakers #giraffelover #messyhair #blackandgold #byui #school #pathway #institute âù_,92570
2,1,0,211,,It's been ten years already? #tbt #cocacola,
3,12,0,711,,#igers_philly #igersusa #markmakingdesign #coke #cocacola #logo #brand #rubbish,
4,4,0,220,,I seriously only go to Mcd's for coke.#fountain#cocacola#yumm#nofilter,
5,1,0,120,,#bike #bici #hollywood #l.a #eeuu #usa #cocacola #coke,
6,5,0,173,,Being stunning #stunning #lol #i #dont #even #know #weird #cocacola #beingsexy #irishgirl #brunette #blueeyes #followme #followback #followforfollow,
7,0,0,491,,.. I just ate my whole life away. ï‘Œï˜_ #mcdonalds #cocacola #imlovinit #cheeseburgers #munchiez #ishouldbeproductive #nofriends,
8,52,2,319,,_™_•_ù _”_•_œ_“_ª _œ_ê_”_•_‘_ª_™_™ _”_™___”_”_”  @hen_itach,
9,1,0,103,,My favorite drink. #cocacola #soda #drink,
10,0,0,54,,#cocacola,
11,288,12,967,,"I was never afraid of the everyday life, the habit is not a fate. We can reinvent every day, the luxury and the commonplace, the immoderation and the common. I believe in the passion which develops, to the memory of the feeling...",
12,2,0,12,,#expense #instamood #milo #fanta #cocacola #sprite #instagood #like4like #likeforlike #likes,
13,1,0,83,Mexico,#por#que#no#cocacola#zero@ch14_instagram,47800
14,0,1,346,,Edgar & I sporting winter inspired pajama pants! #socomfy #winter #penuins #polarbears #cocacola maybe? #studious #studying #calculus & #statics #summerschool #collegeprobs,
15,0,1,269,,"Abastecimiento para una semana, SOLO PARA MI âù_âù_âù_âù_âù_âù_",
16,0,0,66,,Coca-cola para el alma. #cocacola #red #black #coke #yummi #instayolo #lol #love #drink,
17,0,0,116,,No puedo decir no a esto #cocacola #oreo,
18,1,1,16,,#coke #fun #cocacola #promojob #loveit,
19,0,0,84,,Panorama para dia jueved #FlordecaÃ±a #monster #cocacola y luego a #Amazing ;))),
20,1,0,19,,AcompaÃ±a un Mmmm... Con un Ahhhh... Cocacola Light #Cocacola #CocacolaLight :),
21,0,0,11,,#ForTheRecord #adarle #cocacola,
22,0,0,53,,.. Lanchinho Perfeito esse ... ;3 - #perfect #instalike #instagram #bobs #cocacola ..,
23,0,1,338,,,
24,0,0,14,,"Addiction: I have drank this every single day since I was little so yes, I'm very addicted #junephotoadaychallenge #cocacola #addiction",
25,1,0,176,Italy,#cocacola #smile #night #goingout #tagsforlikes #instagood,125
26,1,0,311,,#tavo #handsome #guy #likes #pick  #frieds #beer #cocacola #meamo,
27,0,0,16,,#fun #cocacola #promo #coke,
28,2,0,149,,âù_@aster_21 #cocacola #coke #love #name #amore #kiss #us #like4like #instawow #collage #picofday #popularpic #mix #instagood #heartit,
29,0,0,2,Mexico,Modulo fabricado en acero y policarbonato celular. Especial para #exteriores #expos #ferias #modulo #fanta #refresco #cocacola,64710
30,0,0,236,,#cocacola or #Pepsi!? What you grow up with ??,
31,3,0,62,,divando #amanda #me #cocacola #like #divando #coke #likenafoto #l4l #like4like #followme #follow #instalike #instafollow #epa #boanoite,
32,1,0,201,Brazil,Aaaaannw olha oq a @capricho me mandou junto com a revista desse mes â™¡â™¡â™¡ #pulseira #cordao #capricho #coke #cocacola #instalike #inlove #l4l #f4f,20770-270
33,17,3,541,Italy,,80121
34,2,0,736,United States,ï˜_ï”¥â˜€ #burned #cocacola #lol @datchico954,33326
35,2,0,464,United States,Oh you know just a little break lol #IceCremeTruck #Yummm #Yummy #HotCheetos #HotCheetosWithCheese #Nachos #JalapeÃ±os #Cheese #Cheesy #Coke #CocaCola #FatGirlProblem #Dessert I miss the ice CrÃ¨me truck .. Now I finally have one on my block yey about time lol,90019
36,0,0,130,,Picture of the day: Sugar rushhhh! ïç¬ïç¬ #sugar #candy #wonka #cocacola,
37,1,0,140,,#cocacola #coke #blue #ch #capricho,
38,2,0,221,,#cocacola#coke#add#joke#lol#kidding#pop#soda#60's#hahs#self#me#pdx#red#lovecoke,
39,0,0,54,,Tomando algo :3 #cocacola #coke,
40,27,4,45,,,
41,2,1,305,Brazil,valentine's day ï’— @clararbp_ @aguilarthiago @brunok17,22220-070
42,0,0,67,,Finally! #shareacokewith #sara #cocacola,
43,1,0,48,,La dotacion de mi #princess y yo para ver #HombreEnLlamas una de las pelis q mas le gusta #love #movie #popcorn #frenchfries #cocacola,
44,9,0,48,,#rihanna #fashion #beautiful #rih #riri #navy #rihannanavy #navyfamily #navylove #shinebrightbitch #shine #love #like #music #sexy #smile @badgalriri @badgalriri @badgalriri #badgirl #girl #instagood #tags #tagsforlikes #woman #rihannadivaperfeita #cocacola <3,
45,0,0,72,,Rebel Without a Cause. #James #Byron #Dean #CocaCola #Names #Rebel #Without #Cause #Legend,
46,2,0,203,,#cocacola #free #downtown #montreal #love #sogood #fun,
47,3,1,1495,,Coca cola,
48,0,0,162,,Summer nights. #oldmaid #cocacola #lemonheads #family #swimming #mexicancoke,
49,2,1,74,,Sem mais.,
50,1,0,26,,#cocacola #share #with #me :),
51,3,0,265,,Lack of sleep.... Nah... #lackofsleep #cocacola #atwork #losangeles #gear #hat #goatee #Salvador312,
52,4,0,47,France,"Chillin nite wit real niggaq from the street ya! 
#night#friends#love#chill#chillin#chilling#bed#pyjama#party#cocacola#company#cute#dream",92000
53,4,0,260,,#cocacola #drink #blonde #girl  #bored #red #top,
54,0,0,108,,#rhumandcoke#vodkalemonade#cocacola#lemonade#alcohol#goodshit#ice#goodnight#lime#drink,
55,11,0,1377,,ï˜_ #cocacola #love #TagsForLikes #photooftheday #me #instamood #cute #igers #picoftheday #girl #guy #beautiful #fashion #instagramers #follow #smile #pretty #followme #friends #hair #swag #photo #life #funny #cool #hot #bored #portrait #baby #girls,
56,3,0,260,,#cocacola #drink #top #bored #top #new,
57,7,1,123,,"Que agustito, no?",
58,0,0,173,,#cocacola #share #love #coke #instalove,
59,29,6,514,,Eu te amo!,
60,1,0,198,Brazil,Galerinha reunida :D  Amigos do PrÃ© :p  #Saudades  #Amigos  #Friends  #Flocarianos #Lindos #Meus ^^ #Cocacola  #Designer,59075-000
61,1,0,99,Brazil,#cocacola#adoro#me#amarro,02179-000
62,0,0,233,,Summaa time #cocacola #glass #bottle,
63,2,0,59,,#cocacola #leopardo #hermosa #hola #jiji #instabelieber #instachile,
64,1,0,90,,#sougorda#edai#amo#batataSTAX#cocacola,
65,0,0,105,,Oh yeah I finally found one :-) #myname #cocacola #bottle #niamh,
66,0,0,1,,#cocacola,
67,1,0,73,,Un coke hollandais ï‡·ï‡º #cocacola #coke #holland #koningin,
68,0,0,32,,Awww yeah. #Summer2013 is finally heeeere and #finalsaredone. #cocacola #summer #sunshine #openforsummer,
69,0,0,197,,#haha #cocacola #coke #funny,
70,19,0,338,,#cocacola #coca #cola #world #atlanta #georgia #music #trip #2013 #spring #break #springbreak #fun #violin #orchestra #band #cold #cute #funny #followme #like #picture #this #pic #coke #brown #bubbles,
71,0,0,44,,#vicio #CocaCola,
72,0,0,251,Mexico,#CocaCola,55710
73,0,0,526,,"Ma opuÅ¡teno, ovo je sve dijetalnoo. #Cocacola #chips #chilling#wit#sisters#Angelina#Marija #diet #love #ilikeit #tonight #boring #lovethem",
74,2,0,240,,Delicias de la vida con nicolee #sushi #soGood #exito #cocacola #pty #panama #albrook #mall,
