,Unnamed: 0,Unnamed: 0.1,instagram_likes,instagram_comments,instagram_followers,country,title,zip,#cocacola,#coke,#love,a,#drink,#cola,my,i,#me,#instagood,the,#followme,#summer,#like,#red,#name,#coca,with,#instagram,coke,#follow,#friends,#happy,coca,de,#picoftheday,to,#share,cola,#photooftheday,:),and,#my,#food,#tagsforlikes,me,#instadaily,#cool,#instamood,la,#fun,#cute,this,#girl,in,#with,#like4like,#swag,is,of
9000,9000,8999,5.0,0.0,149.0,,Someone's gotta be taking the piss here. Sharing a coke with adolf???? #cocacola,,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9001,9001,9000,5.0,0.0,149.0,,Someone's gotta be taking the piss here. Sharing a coke with adolf???? #cocacola,,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9002,9002,9001,0.0,0.0,208.0,,Ohh somebody got me addicted #cocacola #yes please,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9003,9003,9002,4.0,0.0,23.0,,"#love #cocacola ""share",,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9004,9004,9003,5.0,0.0,192.0,, #happiness #summer #cocacola,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9005,9005,9004,7.0,1.0,112.0,,Love me some free goodies!  #disney #molskine #wreckitralph #dvd #personalised #cocacola #wilkinson #adformatie #marcom2013 #rai #amsterdam,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9006,9006,9005,3.0,0.0,30.0,Spain,#GoodMoments #Cocacola #Burger #tumblr,25580,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9007,9007,9006,0.0,0.0,1.0,,U fazonu #ortak #cocacola,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9008,9008,9007,27.0,1.0,19.0,,That's amore ♥,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9009,9009,9008,4.0,0.0,36.0,,#cocacola#drink#afternoon#frends#beforeoralenglish#myleatherbag#outside#onthetable#withsun#summer#goodtime,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9010,9010,9009,5.0,0.0,49.0,,Yes finally! #coke #cocacola #not#edited #like4like #follow4follow,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9011,9011,9010,5.0,0.0,290.0,,bosses are in a meeting so I relax hehe  #relaxing #feetup #heels #brown #forever21 #cocacola #coke,,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9012,9012,9011,27.0,2.0,1576.0,,Summer☀,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9013,9013,9012,18.0,0.0,548.0,,#cocacola #coke #felicità #happiness #italy #lastdayofschool #pizza,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9014,9014,9013,0.0,0.0,62.0,,#camarones #doritos #cocacola algo bien,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9015,9015,9014,0.0,0.0,23.0,,#cocacola,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9016,9016,9015,0.0,0.0,163.0,,✌  #cocacola #drink,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9017,9017,9016,3.0,0.0,28.0,,Despues de un partuduto contra el inter ahora toca relax #futboll #Happy #CocaCola #Relax #EMFV,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9018,9018,9017,46.0,0.0,323.0,Poland,#cocacola,26-652,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9019,9019,9018,2.0,0.0,209.0,,#cocacola #coke #karel #instapic #drink #iponesia,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9020,9020,9019,4.0,0.0,6.0,,Coke #like#cokecans#cocacola#share#,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9021,9021,9020,1.0,0.0,52.0,,#cocacola #daddy,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9022,9022,9021,6.0,0.0,142.0,,Cocky Much? #cocacola,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9023,9023,9022,7.0,0.0,253.0,,Coca~Cola #advertising #ad #publicidad #cozumel #cocacola,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9024,9024,9023,7.0,0.0,133.0,Denmark,#marcjacobs #marc #jacobs #cocacola #light #cola #designer #bottles #limitededition #limited #softdrinks,6000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9025,9025,9024,6.0,1.0,75.0,,Coca gelada e lasanha hmmmmm amoo *---*,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9026,9026,9025,6.0,0.0,94.0,,Condividiunacocacola#cocacola#theking#the#king#sera#amici#adoro#qst#bottiglietta#,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9027,9027,9026,0.0,0.0,153.0,,Så jävla värd detta efter x antal timmar plugg. Duktig idiot. #popcornochdipp #cocacola #faaaatso,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9028,9028,9027,25.0,2.0,448.0,,coke man looking for caoimhe and aine! found them eventually,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9029,9029,9028,4.0,1.0,124.0,,Ohhh achei a minha lata!!,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9030,9030,9029,6.0,0.0,128.0,,#menta#cocacola#mel#melhorcoisa#morangos#  @carolinadleite,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9031,9031,9030,3.0,0.0,73.0,,Vapaailta näissä merkeissä ;) #salatutelämät#cocacola#zero#fazer#licorice#namiiii#karkkia#lihavalle#potatochips#muumi#kohta on ähky mä sanon...,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9032,9032,9031,6.0,0.0,306.0,,#cocaine #coke #coce #coca #cola #coca_cola #cocacola #pastelpink #pastel #pink #babypink #cursive #barbie,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9033,9033,9032,6.0,0.0,345.0,Italy,#cocacola #coke #cocazero #condividiunacocacola #bologna #alessandra #star #rider,40133,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9034,9034,9033,1.0,0.0,128.0,,Earlierrrr #cocacola #neros #yay #town #earlier,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9035,9035,9034,5.0,0.0,1415.0,Italy,#cocacola #coke #friends #comunicazione #mammeaspillo #igersitalia #igerstoscana #igersarezzo,52037,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9036,9036,9035,29.0,0.0,3221.0,Brazil,"Decore sua cozinha com os produtos da Coca-Cola! Acesse www.lojahomegood.com.br ❤❤
#cocacola #estilo #decoresuacozinha #decoreseubar #bomgosto #qualidade #produtosdiferenciados #ud #acessemosite #lojahomegood",01257-110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9037,9037,9036,1.0,0.0,260.0,Italy,#cocacola#amica#condividi#questa#coca#cola#con#ariiii#cucciola @aariianna,23861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9038,9038,9037,0.0,0.0,31.0,,#cocacola,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9039,9039,9038,1.0,0.0,92.0,,L'apriamo?! #cocacola #drink,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9040,9040,9039,5.0,0.0,70.0,,Life achievement complete #cocacola #achievement #happy #amy,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9041,9041,9040,8.0,0.0,13.0,,Kkk . #Tedio #Tagsforlike #like4like #FollowMe #FollowBack #instalike #instafollow #CocaCola #cute #instatags #tags #curtir #seguedevolta,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
9042,9042,9041,11.0,0.0,105.0,,#love #it #diet #coke #cocacola #my #name #josh #like4like #l4l #instalike #instadaily #follow #me #follow4follow,,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
9043,9043,9042,11.0,0.0,42.0,,#cocacola#speakers#red#white#share#a#coke#with#friends#cool#swag#likeforlike#followforfollow#like4like#follow4follow,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9044,9044,9043,1.0,0.0,47.0,,#jest #cocacola #jest #moc,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9045,9045,9044,1.0,0.0,115.0,Italy,#friends #cocacola #dinner,92100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9046,9046,9045,7.0,0.0,164.0,,Her #mommy is always #tricking her. #juice out of a #cocacola #bottle lol #ryleemae,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
9047,9047,9046,5.0,0.0,129.0,Israel,#cocacola @cocacola #cocacolazero #drink #name #instamood #instadaily #daily #amaxing #bored #zero #drinks #cola,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
9048,9048,9047,1.0,1.0,22.0,,#coke,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9049,9049,9048,10.0,0.0,433.0,,Muchas gracias depresión me hiciste perder 5 kilos #lost #swag #only #take #mine #new #boy #alone #cocacola #pincheshashtags #pickoftheday #gi03 #c0 #all,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9050,9050,9049,9.0,0.0,488.0,,Drinking my Hannah coke and playing CoD :-) relaxing Wednesday. #relaxing #wednesday #relaxwednesday #cool #awesome #cocacola #hannah #follow #xbox360 #live #game #cod #mw3 #gamergirl,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9051,9051,9050,5.0,0.0,128.0,,Love this drink #coke #cocacola #vanilla #bottle #effects #love,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9052,9052,9051,1.0,0.0,95.0,Brazil,Presente da mamis..rsrs.. =) #cocacola #havaianascocacola,29140-160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9053,9053,9052,3.0,0.0,84.0,Brazil,#fantalaranja #fabrica #cocacola  #andina #riodejaneiro,22710-560,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9054,9054,9053,3.0,0.0,13.0,,#cocacola #coke #bracialet #chain #heart #boyfriend #idunnowhy,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9055,9055,9054,0.0,1.0,29.0,United Kingdom,Here's to you son!,OX18 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9056,9056,9055,64.0,1.0,236.0,,CocaCola en Italia.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9057,9057,9056,6.0,0.0,638.0,,#Zero #CocaCola #magazine #rivista #graphicdesign #spille #nomi #socio #coke,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9058,9058,9057,4.0,0.0,15.0,,Yep! :D #awesome #cocacola #personalized #bottle #made #my #day,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9059,9059,9058,5.0,3.0,25.0,,"At the coca cola factory with Camilo skating :D
#skating#cocacola",,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9060,9060,9059,23.0,0.0,7214.0,,#me back on that #Oil Codeine #instapic #instadaily #iphoneonly #pictureoftheday #follow #sippen #tattoos #CocaCola  I'm just riding inn my #OldSchool listening to some #oldies #trippy,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9061,9061,9060,11.0,0.0,216.0,,#marcjacobs #cocacola,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9062,9062,9061,2.0,1.0,120.0,,@spndeanlovespie,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
