"X","Unnamed..0","instagram_likes","instagram_comments","instagram_followers","country","title","zip","X.cocacola","X.coke","X.love","a","X.drink","X.cola","my","i","X.me","X.instagood","the","X.followme","X.summer","X.like","X.red","X.name","X.coca","with","X.instagram","coke","X.follow","X.friends","X.happy","coca","de","X.picoftheday","to","X.share","cola","X.photooftheday","X..","and","X.my","X.food","X.tagsforlikes","me","X.instadaily","X.cool","X.instamood","la","X.fun","X.cute","this","X.girl","in.","X.with","X.like4like","X.swag","is","of","kmeans"
10521,"10520",2,1,262,NA,"Friends (:",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2"
10776,"10775",185,3,1320,"Norway","Kino me jobbeeen❤ #skomani @elinkristinatherese @minaing94 @dokkamarita","4006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4"
3290,"3290",1,0,114,"Italy","#cocacola #coca #river #thedoctor #doctor #eleven #dw #doctorwho #otp kacjkdv","00187",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8"
9548,"9547",9,0,332,NA,"Ah bon que ça bosse le bac..  #révisions#exam#baccalauréat#feuilles#papers#motivation#highschool#lycée#soleil#sun#courage#pause#break#sciences#CocaCola#Starbucks#céréales#enjoy#instagood#blague#joke",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2"
7378,"7377",1,0,49,NA,"#vicio #me #cocacola #250ml #mini #fofis",NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8"
5967,"5967",0,0,83,NA,"When sweat drips down your brow... #love #cocacola hecho en Mexico #refresco",NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8"
8467,"8466",8,0,141,NA,"#cocacola #share #mami #likeit",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8"
1547,"1547",0,0,7,NA,"#cocacola",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8"
7550,"7549",20,1,99,NA,"#me #and #my #bestfriend @juli_e_  #love #you #brunette #skandinavian #girl #finland #summer #happy #goodtime #cocacola #bestis #f4f",NA,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"8"
8102,"8101",6,1,8,NA,"#drink #coke #cocacola #summer #girls",NA,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8"
5259,"5259",3,1,193,NA,"#cocacola #sunday #sunset #nikon #coolpix #photography #editing #instagram #instaphoto #pictureoftheday #likeforlike #tagsforlikes #tagsforlikesfslc #instagramers #instadaily #instagramhub #insta_good #instalove #instaaddict #webstagram #tweegram #instafun #instasurat #hiddenphotographers #lifeinsurat",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"2"
8262,"8261",15,0,901,"Puerto Rico","#cocacola","00791",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4"
10738,"10737",2,0,47,NA,"#sochi #winterolympics #olympics #2014 #coke #cocacola #nevergonnahappen #igpops #mos #moscow all seems pretty unlikely eh?",NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8"
2934,"2934",204,3,465,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
5310,"5310",0,0,68,NA,"Happy birthday sweet sixteen ❤ #cocacola #bottle",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8"
10797,"10796",0,0,55,NA,"<3 SORRIDI , SEMPRE !!!!!!!! <3 #cocacola #sorriso #condividiunacocacolaconferly",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8"
11234,"11233",1,0,59,NA,"#cocacola#con#il#mio#nome#Grandeeeeee",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8"
1349,"1349",1,0,202,NA,"#cena con #Giovanni!! ;D #dinner #cocacola",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2"
5454,"5454",1,0,283,NA,"#we #today #food #CocaCola #Cola #omnomnom #2013",NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2"
6433,"6433",1,0,126,NA,"#cocacola #pringles #snack #time #boyfriend #lovehim #bestfriend #myeverything @tato_mejia",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8"
10379,"10378",8,4,325,NA,"Tack @eminaselimagic min enda kärlek ❤",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2"
1592,"1592",4,1,44,"Ireland","#coke #dietcoke #cocacola #nailpolish #nailpolish #nail #marcjacobs #bird #designer #dots #red #hotnspicy #rimmel #bow #purple #white #silver #grey #black #yum #shouldbestudying #oneexam #juniorcert #almostsummer #yay #f4f #500ml",NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8"
11351,"11350",6,0,324,NA,"100  #love #share #a #coke #with #your #boyfriend #girlfriend #red #cocacola #100 #days #best #schatz",NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"2"
10865,"10864",0,1,128,"Italy","@robinverrecas this is for you bro!","21015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"8"
946,"946",2,0,79,"Denmark","I vant find my name! #name #cocacola #red #black #love #like #like #like #like #like","2630",1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8"
5901,"5901",1,0,223,"United States","Big ass can of Coke. As if I don't drink enough of it already! #drinktime #cocacola #captain","48104",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2"
4477,"4477",8,0,346,NA,"Mogli! 
#mogli #littlenerd #nerd #funny #glasses #fun #prodigy #likeforfun #tbt #likeforfollow #igersnaples #instadaily #instafun #lol #smile #child #instacool #sweet #likeforlikes #friends #instapic #drinkglasses #cocacola",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"2"
10392,"10391",7,0,101,NA,"#coke#cocacola#cool",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8"
5128,"5128",1,0,38,NA,"Prezent od #cocacola# dusiowakuchnia",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8"
9590,"9589",1,0,2,NA,"#instagram#live#love#martin#instaphoto#school#bery#pc#dream#cocacola#moustache#summer#sun#me#friends",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8"
8460,"8459",0,0,8,NA,"#CocaCola",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8"
9302,"9301",12,0,841,NA,"#sony #vaio #cocacola #night #internet #follow #followme #followback #follows #followers #follower #follow4follow #followforfollow #instafollow #TFLers #TagsForLikes #time #to #sleep",NA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4"
4451,"4451",3,1,24,NA,"Coca-Cola misli na mene.... Hehe...",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8"
7857,"7856",1,0,48,NA,"#BFF #cocacola",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8"
45,"45",0,0,72,NA,"Rebel Without a Cause. #James #Byron #Dean #CocaCola #Names #Rebel #Without #Cause #Legend",NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8"
9550,"9549",0,0,63,NA,"My Coke :) #CocaCola #Coke #ZH #Lautaro #MyCoke #Summer",NA,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8"
84,"84",0,0,99,"United States","#cocacola@#coke #love #italy","46143",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8"
2380,"2380",0,0,46,"Brazil","#cocaCola #latacolorida haha","88075-010",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8"
11473,"11472",17,0,106,"Spain","#hola #ladygaga #fatamy #love #kiss #britneyspears #big #shinebrightlikeadiamond #mileycyrus #pepper #justintimberlake #sleep #highschool #cocacola #me #rihanna #katyperry #selenagomez #girl #island #beyonce #hi #taylorswift #fiesta #good #yo #summer #smile #justinbieber #cute","08392",1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"8"
7012,"7011",16,1,208,"Italy",":D","56122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2"
4350,"4350",1,0,212,NA,"Yesterday I had my fatherinlaws coke, today it's my Best friends :) #instacollage #coke #cocacola #shareacoke @swheesch",NA,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2"
4993,"4993",6,0,154,"Italy","#friend #friends #cocacola #dog #animal #animals #love #book #books #sunday  #igpops #instalike #instagallery #instagood #shots #iphonesia  #photooftheday  #instamood #igers  #cute  #instagramhub  #picoftheday #jj  #instadaily  #bestoftheday #igdaily  #beautiful  #webstagram #igersitalia #italy","14100",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,"8"
428,"428",2,0,314,NA,"<3 #cokezone #elmennyelfizetek #cocacola #love #vivacomet #coke #pink",NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2"
11154,"11153",5,0,119,NA,"♥ #me ##you #boyfriend #love #heart #fun #cool #best #instapic #instadaily #picoftheday #instacool #love #cocacola #share #with #love #summer #instalove #lotoflove ♥",NA,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,"8"
4946,"4946",NA,NA,NA,NA,"""@CarlaNaoOmi: #Me #balcon #Calor #Cocacola #Lay's *.* http://t.co/Ck8vvacR00"" my favorite chips",NA,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
10969,"10968",1,0,190,"Italy","Everything is possible! @fabiobarban #caterina #cocacola","21013",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"2"
